,expense_per_sqft,gross_income_per_sqft,market_value_per_sqft,neighborhood,bbl
317,11.59,34.1,164.15,GREENWICH VILLAGE-CENTRAL,1005620001
318,11.4,40.73,221.42,GREENWICH VILLAGE-CENTRAL,1005620011
319,7.31,31.74,184.44,GREENWICH VILLAGE-CENTRAL,1005620036
320,13.98,44.62,231.34,GREENWICH VILLAGE-CENTRAL,1005620040
321,10.57,40.18,223.56,GREENWICH VILLAGE-CENTRAL,1005630037
322,12.04,35.45,176.74,GREENWICH VILLAGE-CENTRAL,1005630048
323,11.05,39.48,214.65,GREENWICH VILLAGE-CENTRAL,1005640001
324,10.45,36.04,193.2,GREENWICH VILLAGE-CENTRAL,1005640020
325,9.2,36.79,208.31,GREENWICH VILLAGE-CENTRAL,1005640026
326,10.97,34.32,176.29,GREENWICH VILLAGE-CENTRAL,1005640031
327,6.21,32.34,197.28,GREENWICH VILLAGE-CENTRAL,1005640036
328,12.06,41.96,225.75,GREENWICH VILLAGE-CENTRAL,1005640041
329,9.78,33.5,179.09,GREENWICH VILLAGE-CENTRAL,1005640054
330,11.21,38.59,206.72,GREENWICH VILLAGE-CENTRAL,1005660001
331,10.75,37.11,199.02,GREENWICH VILLAGE-CENTRAL,1005660018
332,10.38,34.01,178.4,GREENWICH VILLAGE-CENTRAL,1005670007
333,11.91,32.69,156.89,GREENWICH VILLAGE-CENTRAL,1005670019
334,10.73,39.67,218.49,GREENWICH VILLAGE-CENTRAL,1005680004
335,10.64,38.84,212.91,GREENWICH VILLAGE-CENTRAL,1005680006
336,9.75,31.94,167.54,GREENWICH VILLAGE-CENTRAL,1005680011
337,11.87,43.95,242.2,GREENWICH VILLAGE-CENTRAL,1005680024
338,10.73,30.34,148.05,GREENWICH VILLAGE-CENTRAL,1005680026
339,11.0,34.39,176.6,GREENWICH VILLAGE-CENTRAL,1005690001
340,8.19,30.9,171.46,GREENWICH VILLAGE-CENTRAL,1005690003
341,14.66,38.35,178.86,GREENWICH VILLAGE-CENTRAL,1005690005
342,9.31,30.78,162.1,GREENWICH VILLAGE-CENTRAL,1005720017
343,12.0,41.03,219.17,GREENWICH VILLAGE-CENTRAL,1005730039
344,9.11,37.74,216.16,GREENWICH VILLAGE-CENTRAL,1005730043
345,9.39,40.5,234.88,GREENWICH VILLAGE-CENTRAL,1005730054
346,10.73,30.34,148.05,GREENWICH VILLAGE-CENTRAL,1005730062
347,10.89,34.91,181.35,GREENWICH VILLAGE-CENTRAL,1005730075
348,12.51,44.67,242.81,GREENWICH VILLAGE-CENTRAL,1005740011
349,10.8,32.52,163.99,GREENWICH VILLAGE-CENTRAL,1005740039
350,10.7,32.21,162.41,GREENWICH VILLAGE-CENTRAL,1005740067
351,9.97,36.29,198.72,GREENWICH VILLAGE-CENTRAL,1005750057
352,8.2,34.11,195.62,GREENWICH VILLAGE-CENTRAL,1005750072
353,9.15,34.48,191.24,GREENWICH VILLAGE-CENTRAL,1005760001
354,9.35,38.61,220.93,GREENWICH VILLAGE-CENTRAL,1005760016
355,11.02,33.27,168.0,GREENWICH VILLAGE-CENTRAL,1005760022
356,11.04,36.79,194.41,GREENWICH VILLAGE-CENTRAL,1005760025
357,11.61,36.81,190.25,GREENWICH VILLAGE-CENTRAL,1005760049
358,8.19,30.9,171.47,GREENWICH VILLAGE-CENTRAL,1005760056
359,11.61,36.81,190.27,GREENWICH VILLAGE-CENTRAL,1005760066
360,10.77,33.81,173.95,GREENWICH VILLAGE-CENTRAL,1005770024
361,11.45,35.9,184.6,GREENWICH VILLAGE-CENTRAL,1005770030
362,9.53,34.68,189.88,GREENWICH VILLAGE-CENTRAL,1005770042
363,12.74,44.26,237.97,GREENWICH VILLAGE-CENTRAL,1005770066
364,6.73,30.06,176.15,GREENWICH VILLAGE-WEST,1005830029
365,14.5,36.66,167.31,GREENWICH VILLAGE-WEST,1005840018
366,10.58,35.26,186.33,GREENWICH VILLAGE-WEST,1005840043
367,10.29,32.74,169.52,GREENWICH VILLAGE-WEST,1005840045
368,10.73,33.56,172.37,GREENWICH VILLAGE-WEST,1005840046
369,10.07,31.48,161.61,GREENWICH VILLAGE-WEST,1005840059
370,10.62,34.26,178.49,GREENWICH VILLAGE-WEST,1005840061
371,10.09,30.63,155.09,GREENWICH VILLAGE-WEST,1005850012
372,10.69,35.64,188.34,GREENWICH VILLAGE-WEST,1005860011
373,10.41,45.44,264.47,GREENWICH VILLAGE-WEST,1005860081
